Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
5/2/2007;00:00:00;0.374;0.090;243.870;1.600;0.000;1.000;0.000
5/2/2007;00:01:00;0.356;0.086;243.960;1.600;0.000;0.000;0.000
5/2/2007;00:02:00;0.346;0.048;244.300;1.600;0.000;0.000;0.000
5/2/2007;00:03:00;0.286;0.000;244.210;1.200;0.000;0.000;0.000
5/2/2007;00:04:00;0.304;0.000;243.650;1.400;0.000;0.000;0.000
5/2/2007;00:05:00;0.288;0.000;243.570;1.200;0.000;0.000;0.000
5/2/2007;00:06:00;0.300;0.000;243.400;1.400;0.000;1.000;0.000
5/2/2007;00:07:00;0.302;0.000;243.930;1.400;0.000;0.000;0.000
5/2/2007;00:08:00;0.286;0.000;243.750;1.200;0.000;0.000;0.000
5/2/2007;00:09:00;0.304;0.000;243.450;1.400;0.000;0.000;0.000
5/2/2007;00:10:00;0.282;0.000;242.340;1.200;0.000;0.000;0.000
5/2/2007;00:11:00;0.298;0.000;240.810;1.400;0.000;1.000;0.000
5/2/2007;00:12:00;0.280;0.000;241.090;1.200;0.000;0.000;0.000
5/2/2007;00:13:00;0.300;0.000;242.180;1.400;0.000;0.000;0.000
5/2/2007;00:14:00;0.282;0.000;242.580;1.200;0.000;0.000;0.000
5/2/2007;00:15:00;0.300;0.000;241.990;1.400;0.000;0.000;0.000
5/2/2007;00:16:00;0.282;0.000;241.810;1.200;0.000;0.000;0.000
5/2/2007;00:17:00;0.392;0.074;240.620;1.800;0.000;1.000;0.000
5/2/2007;00:18:00;0.388;0.098;240.160;1.600;0.000;0.000;0.000
5/2/2007;00:19:00;0.402;0.102;240.110;1.800;0.000;0.000;0.000
5/2/2007;00:20:00;0.382;0.098;240.180;1.600;0.000;0.000;0.000
5/2/2007;00:21:00;0.400;0.106;240.680;1.800;0.000;0.000;0.000
5/2/2007;00:22:00;0.382;0.104;241.390;1.600;0.000;0.000;0.000
5/2/2007;00:23:00;0.400;0.110;241.610;1.800;0.000;1.000;0.000
5/2/2007;00:24:00;0.378;0.102;241.090;1.600;0.000;0.000;0.000
5/2/2007;00:25:00;0.396;0.104;240.810;1.800;0.000;0.000;0.000
5/2/2007;00:26:00;0.376;0.098;240.460;1.600;0.000;0.000;0.000
5/2/2007;00:27:00;0.392;0.100;239.930;1.800;0.000;0.000;0.000
5/2/2007;00:28:00;0.370;0.094;239.280;1.600;0.000;0.000;0.000
5/2/2007;00:29:00;0.486;0.214;238.270;2.400;0.000;2.000;0.000
5/2/2007;00:30:00;0.456;0.218;239.720;2.000;0.000;2.000;0.000
5/2/2007;00:31:00;0.476;0.232;241.180;2.200;0.000;1.000;0.000
5/2/2007;00:32:00;0.382;0.118;241.870;1.600;0.000;2.000;0.000
5/2/2007;00:33:00;0.386;0.098;241.350;1.600;0.000;1.000;0.000
5/2/2007;00:34:00;0.368;0.094;241.550;1.600;0.000;2.000;0.000
5/2/2007;00:35:00;0.428;0.132;240.720;2.000;0.000;2.000;0.000
5/2/2007;00:36:00;0.448;0.198;241.020;2.000;0.000;1.000;0.000
5/2/2007;00:37:00;0.452;0.200;241.420;2.000;0.000;2.000;0.000
5/2/2007;00:38:00;0.460;0.202;241.470;2.000;0.000;1.000;0.000
5/2/2007;00:39:00;0.440;0.200;242.000;2.000;0.000;2.000;0.000
5/2/2007;00:40:00;0.456;0.202;241.440;2.000;0.000;2.000;0.000
5/2/2007;00:41:00;0.434;0.194;240.740;2.000;0.000;1.000;0.000
5/2/2007;00:42:00;0.450;0.200;240.960;2.000;0.000;2.000;0.000
5/2/2007;00:43:00;0.428;0.194;240.840;2.000;0.000;1.000;0.000
5/2/2007;00:44:00;0.446;0.196;240.430;2.000;0.000;2.000;0.000
5/2/2007;00:45:00;0.424;0.192;240.610;2.000;0.000;1.000;0.000
5/2/2007;00:46:00;0.584;0.232;240.830;2.600;0.000;4.000;0.000
5/2/2007;00:47:00;0.566;0.144;240.660;2.400;0.000;5.000;0.000
5/2/2007;00:48:00;0.572;0.156;239.910;2.400;0.000;5.000;0.000
5/2/2007;00:49:00;0.562;0.136;239.470;2.400;0.000;4.000;0.000
5/2/2007;00:50:00;0.570;0.156;239.790;2.400;0.000;5.000;0.000
5/2/2007;00:51:00;0.564;0.140;240.150;2.400;0.000;5.000;0.000
5/2/2007;00:52:00;0.568;0.160;240.600;2.400;0.000;5.000;0.000
